text,label
They claimed I canceled the delivery—false  ,delivery
I demand an immediate reversal  ,billing
It was left outside and someone stole it  ,delivery
I'm tired of chasing my deliveries  ,delivery
All the pages are stuck together  ,product
The dates don’t match the billing cycle.  ,billing
You’re charging me more than advertised  ,billing
Unexplained fee showed up  ,billing
Why is my delivery three days late?  ,delivery
My order is melted  ,delivery
This isn’t the payment plan I selected.  ,billing
The package is missing pieces  ,delivery
How can the total be more than the subtotal?  ,billing
I caught the driver on camera skipping my house  ,delivery
Item was crushed during transit—completely unacceptable  ,delivery
Package was torn open  ,delivery
Smells weird and seems unsafe  ,product
Doesn’t match the description at all  ,product
You charged me before my free trial ended.  ,billing
Paint smells toxic and unbearable  ,product
Wobbly out of the box  ,product
Cheap plastic feel  ,product
My order is incomplete  ,delivery
Why am I paying for another user’s error?  ,billing
Loud and annoying noise  ,product
Zipper jammed instantly  ,product
They never rang the bell  ,delivery
Items are missing from the bag  ,delivery
Why leave packages where anyone can steal them?  ,delivery
Tracking number isn’t even valid  ,delivery
Your system is out of sync  ,billing
You didn’t get authorization for that charge.  ,billing
There’s no explanation on the bill.  ,billing
Wrong serial number  ,product
I rejected the terms and still got billed.  ,billing
I need this urgently and it’s nowhere  ,delivery
You sent it to an old address despite my update  ,delivery
Driver refused to wait even 30 seconds  ,delivery
Stitches are already loose  ,product
Your driver gave it to a neighbor without asking  ,delivery
This wasn’t even in my cart.  ,billing
I never opted in for this service  ,billing
This is obviously a used item  ,product
I feel cheated  ,product
Stop charging me for features I don’t use.  ,billing
The charging cable sparks  ,product
My payment plan isn’t reflected here  ,billing
Still not fixed after chat with support  ,billing
Takes forever to boot  ,product
I didn’t make this purchase  ,billing
This isn’t compatible as claimed  ,product
You charged me for shipping twice  ,product
Can’t even assemble it properly  ,product
Came without the power cable included  ,product
I already paid—why charge again?  ,billing
Device overheats within minutes  ,product
Unstable connection  ,product
I feel like I’m being scammed  ,billing
This is not the time I selected  ,delivery
Came with cracked parts  ,product
This delay messed up my whole schedule  ,delivery
Is this how you treat loyal customers?  ,billing
No one told me the price changed.  ,billing
The box is soaked and smells bad  ,delivery
Cracked mirror  ,product
Sticky residue on surface  ,product
No delivery note was left  ,delivery
The drawer doesn’t close all the way  ,product
You’ve lost me as a customer  ,product
Package left in the wrong mailbox  ,delivery
Wobbly and unstable  ,product
I asked to cancel before renewal  ,billing
Your math doesn’t check out.  ,billing
My usage graph is flat—why the charge?  ,billing
Package says fragile but it wasn’t protected  ,product
It tears just from touching it  ,product
Speaker is muffled  ,product
Your driver blocked my driveway and then left  ,delivery
Received the wrong pattern  ,product
Driver left it in the hallway—stolen  ,delivery
This service should’ve been paused  ,billing
Where’s the credit you promised?  ,billing
Just a piece of junk  ,product
I expected way better quality  ,product
The dial is stuck  ,product
It falls apart when touched  ,product
Nothing fits like it should  ,product
Why do your drivers skip buildings entirely?  ,delivery
The charge date is incorrect  ,billing
Item does not power  ,product
They dumped it in front of someone else’s unit  ,delivery
Left it in a snowbank  ,delivery
Wheels fall off easily  ,product
I paid in full—why another charge?  ,billing
Still missing one of my boxes  ,delivery
The instructions are completely useless  ,product
Parts arrived dirty  ,product
Glass has bubbles inside  ,product
I asked for back door—they ignored it  ,delivery
This isn’t a premium feature  ,billing
You charged me even though I used a gift card.  ,billing
It squeaks constantly  ,product
Misaligned buttons  ,product
Cable doesn’t fit the device  ,product
Battery compartment won’t open  ,product
No one mentioned this in the agreement.  ,billing
This has become a monthly headache  ,billing
Why is my balance negative?  ,billing
Buckle popped off  ,product
Wrong measurement units  ,product
Not as soft as described  ,product
It doesn’t recognize input  ,product
My pet’s food arrived two days late  ,delivery
Lights flicker and won’t stay on  ,product
Your “free” trial is a joke  ,billing
It’s showing a monthly fee I never agreed to.  ,billing
Why was my package left in the rain?  ,delivery
I got a used product  ,product
What is this processing fee for?  ,billing
Your delivery window is useless—it never shows up  ,delivery
This fee isn’t mine.  ,billing
You forgot to remove the security tag  ,product
Backlight not working  ,product
Your email receipt shows a different amount  ,billing
Why am I being overcharged constantly?  ,billing
Why am I paying for this twice?  ,billing
"Package left on the curb, completely unacceptable  ",delivery
One earbud doesn’t work  ,product
Item looks used and has scratches everywhere  ,product
Another missing delivery—this is ridiculous  ,delivery
Items inside are smashed  ,delivery
Please stop charging my card  ,billing
I paid in store—why the online charge?  ,billing
I can’t find my order anywhere  ,delivery
Already showing rust spots  ,product
Driver didn’t come up to my door  ,delivery
Everything rattles inside  ,product
Doesn’t work at all out of the box  ,product
The refund still hasn’t arrived  ,billing
No one told me about this extra cost  ,billing
I never got an invoice  ,billing
Where’s the student discount?  ,billing
You owe me an explanation  ,billing
This charge was unexpected and unexplained  ,billing
Not Alexa compatible  ,product
Item smells moldy  ,product
No tracking updates for days—what’s going on?  ,delivery
Received a completely different item  ,product
Straps broke immediately  ,product
Get this off my bill  ,billing
"I asked for a downgrade, not an upgrade.  ",billing
I called support—no one helped  ,delivery
It was marked delivered before it even left  ,delivery
Nothing aligns properly  ,product
You’re charging me for something I didn’t receive  ,billing
My item was delivered to the wrong door  ,delivery
It’s 10pm and still no delivery  ,delivery
Fix this or I’ll file a complaint  ,billing
I received only part of my order  ,delivery
The driver never made it past the gate  ,delivery
You billed me for a service I haven’t touched.  ,billing
This needs immediate attention  ,billing
The delivery photo is not my house  ,delivery
This service keeps failing me  ,delivery
Hose is too short  ,product
It smells like cigarette smoke  ,product
I didn’t receive everything I paid for  ,delivery
The display flickers constantly  ,product
This is getting ridiculous  ,billing
My order was given to the wrong person  ,delivery
Arrived late despite paying for fast shipping  ,product
Food was upside down and leaking  ,delivery
I’m seeing extra charges again  ,billing
I never asked for this add-on  ,billing
You sent the wrong voltage version  ,product
It was the wrong delivery altogether  ,delivery
Arrived three weeks late  ,product
The mechanism is stuck  ,product
Wheels don’t roll smoothly  ,product
Rust forming already  ,product
Your free trial is a scam  ,billing
You auto-filled the wrong plan.  ,billing
The delivery guy dropped it and drove off  ,delivery
I’m being double-billed.  ,billing
Arrived covered in dust and grime  ,product
It was delivered hours late and destroyed  ,delivery
Driver pretended to attempt delivery  ,delivery
My payment wasn’t applied correctly  ,billing
It won’t even open  ,product
This has been mishandled completely  ,billing
There’s nothing in the order summary about this.  ,billing
Driver went to a different street  ,delivery
Switch doesn’t toggle  ,product
This doesn’t match the email confirmation  ,billing
Stop billing me for a closed account.  ,billing
Where is the itemized breakdown?  ,billing
"I asked for a pause, not cancellation and charge.  ",billing
Why did it go to another city first?  ,delivery
They said “delivered” but nothing is here  ,delivery
Phone holder is crooked  ,product
Doesn’t hold a charge  ,product
Fell apart within a day  ,product
You ignored my cancellation  ,product
Hard to assemble with no guide  ,product
These upsells are sneaky  ,billing
It looks like fraud  ,billing
Why charge a fee for canceling a trial?  ,billing
You keep delivering to the wrong house  ,delivery
Package is leaking  ,delivery
You skipped my delivery altogether  ,delivery
Already rusting after two days  ,product
Your calculator is way off.  ,billing
Why can’t anyone get this right?  ,delivery
"This is the wrong amount, plain and simple.  ",billing
Driver said no one was home but I was  ,delivery
No text or call before arrival  ,delivery
Why was my item dumped at the leasing office?  ,delivery
Still no help from customer service  ,delivery
Nothing about this charge is right.  ,billing
No one contacted me before dropping it  ,delivery
Driver didn’t wait for me to answer  ,delivery
Why am I paying for premium?  ,billing
I regret this purchase  ,product
My food was delivered to the wrong building  ,delivery
The motor makes grinding sounds  ,product
No support materials included  ,product
You said it was fixed. It’s not.  ,billing
This is unacceptable service  ,delivery
Why was I billed for something I never used?  ,billing
Doesn’t play audio correctly  ,product
"The tracking just says ""delayed"" forever  ",delivery
"Wrong color, wrong size, wrong everything  ",product
It keeps disconnecting from Wi-Fi  ,product
Please correct your mistake  ,billing
The lid doesn’t close properly  ,product
Fix your mistake immediately  ,billing
"Tracking says it’s here, but it’s not  ",delivery
I canceled and still got a bill.  ,billing
Cracked charger brick  ,product
Clearly a return  ,product
Stop billing me for paused services.  ,billing
I expect this to be fixed today  ,billing
They just left it in the elevator  ,delivery
Button fell off the first day  ,product
One piece was warped  ,product
Glue is visible everywhere  ,product
Package was marked delivered but it’s nowhere  ,delivery
My card was charged multiple times  ,billing
This is a complete mess—do better  ,delivery
Why was it delivered at midnight?  ,delivery
"Wrong time, wrong date, wrong address  ",delivery
One leg is shorter than the others  ,product
I’ve called three times and nothing’s fixed  ,billing
Item is completely warped  ,product
The charge is completely invalid  ,billing
You’ve overdrawn my account  ,billing
I won’t tolerate this again  ,billing
"You promised 3 items, I got one  ",product
The package is completely destroyed  ,delivery
The breakdown is totally inaccurate  ,billing
Came in the wrong packaging  ,product
This is the third late delivery this week  ,delivery
I asked for a specific date—why ignore that?  ,delivery
Grill top is warped  ,product
That feature was supposed to be included.  ,billing
Doesn’t come with the advertised remote  ,product
You ruined a surprise gift by delivering early  ,delivery
This isn’t what I agreed to pay  ,billing
You charged me for something I didn’t get  ,delivery
Driver was extremely careless  ,delivery
The box is empty—what kind of joke is this?  ,delivery
It won’t even turn on  ,product
They didn’t even try to contact me  ,delivery
The app crashed and still charged me.  ,billing
The charge is higher than the quote  ,billing
The app required to use it is broken  ,product
The rep I spoke to gave me different info.  ,billing
There’s no receipt for this transaction.  ,billing
"No notification, just a charge out of nowhere.  ",billing
This amount is higher than what I approved.  ,billing
You marked it delivered at 2AM  ,delivery
Horrible aftertaste  ,product
This charge is dated after I canceled  ,billing
The mechanism sticks constantly  ,product
"Still waiting, it's been over ten days now  ",delivery
Driver marked it delivered from another city  ,delivery
Still no resolution after three emails  ,billing
My kid cut themselves on a sharp edge  ,product
Feels greasy to touch  ,product
Torn pages in the book  ,product
Lens is scratched  ,product
Case doesn’t close properly  ,product
I don’t trust your billing anymore  ,billing
"Supposed to be leather, but it’s not  ",product
The driver never came to my door  ,delivery
I’m being ignored  ,product
My subscription ended last month  ,billing
You didn’t mention an activation fee  ,billing
No instructions were included  ,product
The product was soaking wet when opened  ,product
I stayed home and waited—what a waste  ,delivery
I canceled two weeks ago—why was I billed?  ,billing
It’s way too sharp  ,product
You’ve lost my order for the second time  ,delivery
Sound quality is terrible  ,product
This bill has someone else’s email on it.  ,billing
There’s no way this passed quality control  ,delivery
The zipper broke the first time I used it  ,product
It was dumped on the stairs  ,delivery
Still waiting and no one responds  ,delivery
You sent the demo unit  ,product
This makes absolutely no sense.  ,billing
Delivery person didn’t even try to find my unit  ,delivery
I didn’t agree to monthly billing  ,billing
I got charged after I opted out  ,billing
Every part feels misaligned  ,product
Your billing system is a mess  ,billing
This shouldn’t even be sellable  ,product
You never got my permission  ,billing
Package was dumped behind a bush  ,delivery
You left it where anyone could grab it  ,delivery
The lock mechanism doesn’t work  ,product
Power button recessed  ,product
You promised this would be free  ,billing
The driver mixed up units again  ,delivery
I caught this charge too late.  ,billing
Outdated version sent  ,product
This bill is full of mistakes  ,billing
Package left in puddle  ,delivery
You promised no charges until activation.  ,billing
I received an empty box—completely unacceptable  ,delivery
You said it’d be here today. It’s not.  ,delivery
The total jumped at checkout without explanation.  ,billing
Billing history looks suspicious  ,billing
Looks counterfeit  ,product
Your invoice has errors—again.  ,billing
I don’t owe this amount  ,billing
The numbers on the invoice just don’t match.  ,billing
"No one rang the bell, again  ",delivery
"No transparency, just more fees  ",billing
I keep receiving damaged goods  ,delivery
Your chatbot confirmed there’d be no charge.  ,billing
I received a torn-up box with missing items  ,delivery
Device constantly restarts  ,product
No tracking updates were available  ,product
I didn’t approve that delivery location  ,delivery
Came with missing screws  ,product
You said this would be fixed last week  ,billing
You charged me during the grace period.  ,billing
The driver didn’t even slow down  ,delivery
They left it in the lobby—again  ,delivery
This is a complete shipping failure  ,delivery
Fan blades bent  ,product
I didn’t receive an invoice  ,billing
This doesn’t match the agreed-upon rate  ,billing
I got someone else’s bill.  ,billing
They didn’t wait long enough  ,delivery
Not rechargeable as claimed  ,product
The blade is dull and chipped  ,product
I didn’t ask for expedited shipping  ,billing
Returns are being ignored  ,product
Driver never entered the building  ,delivery
The device shocked me on use  ,product
That upgrade wasn’t authorized.  ,billing
The clip broke in my hand  ,product
This was a gift and now it’s ruined  ,delivery
I asked for signature but got none  ,delivery
Your website said no charges during trial  ,billing
Why am I being punished for your error?  ,billing
Batteries leak  ,product
I was logged out and still charged.  ,billing
The hose leaks  ,product
I asked to cancel. You said it was done.  ,billing
This late fee is outrageous.  ,billing
"Advertised as waterproof, but it’s not  ",product
No way to turn it off  ,product
Buttons don’t press  ,product
How can you mess this up again?  ,billing
This bill is a mess.  ,billing
You never fixed the original delivery issue  ,delivery
No one mentioned auto-renewal  ,billing
The inner lining is torn  ,product
Battery compartment doesn’t open  ,product
Why does it say I received it?  ,delivery
My parcel got delivered to the wrong state  ,delivery
Driver dropped it while walking away  ,delivery
Stop changing the terms after the fact.  ,billing
The package arrived soaking wet and unusable  ,delivery
That feature isn’t even active.  ,billing
You delivered to the wrong apartment again  ,delivery
Delivery driver sped away without stopping  ,delivery
This has now happened three times  ,delivery
You charged me and then canceled the service.  ,billing
Don’t charge me again  ,billing
I thought I canceled successfully  ,billing
Package arrived soaked  ,product
My order melted on the doorstep  ,delivery
Doesn’t detect touch  ,product
Pen tip is broken  ,product
I never received my birthday gift  ,delivery
Someone else signed for my package  ,delivery
I gave instructions to come to my door which were not followed  ,delivery
Your system keeps charging my old card.  ,billing
It’s always something with your billing  ,billing
My account doesn’t reflect the changes.  ,billing
Buttons pop off with minimal pressure  ,product
Lights don’t sync  ,product
Why is there a service fee again?  ,billing
Still waiting for last month’s correction  ,billing
It’s been delayed three times now  ,delivery
I didn’t approve this payment  ,billing
Pieces don’t fit together  ,product
Tracking shows it’s in a different city  ,delivery
Only works intermittently  ,product
Mounting hardware missing  ,product
Why do I have a late fee?  ,billing
You said the first month was free  ,billing
I gave clear instructions—they were ignored  ,delivery
Fix your records before billing me.  ,billing
The wrong items were thrown into a box  ,delivery
The plug doesn’t fit US sockets  ,product
The magnet doesn’t hold  ,product
Too much background noise  ,product
Fix your billing system.  ,billing
Why is the charge split in two?  ,billing
How can it be delivered if I have nothing?  ,delivery
"No one knocked, no note, no package  ",delivery
Why does this charge keep reappearing every month?  ,billing
Glue already peeling  ,product
Stop blaming me for your mistake  ,delivery
They took a photo of someone else’s porch  ,delivery
Mouse doesn’t click  ,product
Why is my food cold and soggy?  ,delivery
It’s been “out for delivery” for 3 days  ,delivery
Why is there a random fee here?  ,billing
Driver ignored my note completely  ,delivery
My order is sitting in a facility two towns over  ,delivery
I got charged twice for one item  ,product
Still not fixed after multiple tickets  ,billing
I want a full refund  ,product
Very stiff and uncomfortable  ,product
How can you charge without verification?  ,billing
Where’s the promised promotional rate?  ,billing
You marked my order completed without delivery  ,delivery
"This is the third ""lost"" delivery this month  ",delivery
This is not what I ordered  ,product
Where’s my subscription status update?  ,billing
Color started bleeding in the wash  ,product
I already disputed this charge.  ,billing
Footrest fell off  ,product
There’s no explanation for this random charge.  ,billing
Padding is lumpy  ,product
My medication was delayed—this is serious  ,delivery
There are sharp edges on the product  ,product
Why are you using such unreliable couriers?  ,delivery
Buttons are stuck and don’t respond  ,product
My groceries are spoiled  ,delivery
It says $0 on the confirmation page.  ,billing
This is not the model I ordered  ,product
This isn’t what your website said.  ,billing
The breakdown doesn’t match the actual bill.  ,billing
I found food crumbs inside  ,product
I didn’t authorize this delivery location  ,delivery
No cable included  ,product
Food arrived rotten  ,product
I was told it’d be fixed—it's not  ,billing
Battery died after ten minutes of use  ,product
Poorly assembled  ,product
"I downgraded, but I’m still paying the full rate.  ",billing
I paused the service but still got charged  ,billing
Tracking stopped updating  ,delivery
Wrong size and doesn’t fit at all  ,product
Cloth is fraying at the edges  ,product
This was clearly returned by someone else  ,product
This was declined—why was it processed anyway?  ,billing
Doesn’t support my device  ,product
Completely the wrong shade of blue  ,product
Why’s my bill always changing?  ,billing
It was left in plain sight  ,delivery
Your breakdown doesn’t match the total.  ,billing
This is the second time this month.  ,billing
The box was torn open on arrival  ,delivery
You said it was free for early users.  ,billing
I disputed this already—why is it back?  ,billing
Said waterproof but it leaks  ,product
You’ve messed up my budget  ,billing
Why is no one responding?  ,product
Shuts off randomly  ,product
You’ve delivered to the wrong address AGAIN  ,delivery
Items were clearly tampered with  ,delivery
My invoice doesn’t match the total  ,billing
How did this pass quality check?  ,product
The box was clearly tampered with  ,delivery
Still no update after promised delivery time  ,delivery
Arrived without a charger  ,product
Driver left it by the wrong door  ,delivery
"Nothing has arrived, again  ",delivery
You made another billing error  ,billing
You sent a child’s size  ,product
Label says refurbished  ,product
Nothing has changed—why is the charge higher?  ,billing
You added features I didn’t ask for.  ,billing
Why do they keep messing up my address?  ,delivery
Driver used the wrong entrance  ,delivery
Wristband too short  ,product
Squeaks loudly  ,product
"You said ""attempted delivery"" but never came  ",delivery
"Wrong time, again  ",delivery
Driver didn’t speak to anyone  ,delivery
You sent it to a closed store  ,delivery
I didn’t finish signing up.  ,billing
You charged me for a month I didn’t use.  ,billing
You’ve now made it worse  ,billing
You rescheduled without my consent  ,delivery
You sent me the wrong product entirely  ,product
How can a free trial cost money?  ,billing
This isn’t what I signed up for  ,billing
How does a package go missing this often?  ,delivery
You keep delivering broken stuff  ,delivery
The box is crushed and taped poorly  ,delivery
This is my fourth complaint this month  ,delivery
Doesn’t match product images  ,product
I caught another charge from last week.  ,billing
Driver walked away before I opened the door  ,delivery
Package is crushed and soaked  ,delivery
Sound is distorted and tinny  ,product
You billed me before the contract start.  ,billing
You sent me someone else’s stuff  ,delivery
Where’s the rest of my order?  ,delivery
They didn’t even try the correct unit  ,delivery
No one ever answers my complaints  ,delivery
Where is my weekend delivery?  ,delivery
Even the email confirmation has the wrong total.  ,billing
They left it behind the trash cans  ,delivery
This is worse than my last experience  ,delivery
You’ve delayed my order four times now  ,delivery
It’s missing the remote control  ,product
Driver refused to come upstairs  ,delivery
There’s a double charge on my card  ,billing
The motor makes a grinding sound  ,product
You billed the wrong customer  ,billing
I paid in full. Why am I being charged again?  ,billing
Just fix this now  ,product
I’ve been waiting weeks for this  ,delivery
The screen is completely unresponsive  ,product
My subscription was supposed to end  ,billing
The strap snapped instantly  ,product
The velcro won’t stick  ,product
I watched the driver leave without delivering  ,delivery
Handle snapped right off while opening  ,product
Your website misled me.  ,billing
How did my basic plan turn into premium pricing?  ,billing
You delayed it again without informing me  ,delivery
The service has gone downhill  ,delivery
I didn’t sign up for this plan  ,billing
Someone else’s name is on this bill.  ,billing
I never got a confirmation email for this charge.  ,billing
Why does this keep happening?  ,billing
Why am I getting billed in advance?  ,billing
Fell apart after one use  ,product
All accessories are missing  ,product
The sale price did not register correctly.  ,billing
I followed up three times  ,product
Delivered to the wrong address  ,product
I never got notified about this charge  ,billing
I had to repair it myself  ,product
"I never clicked confirm, yet you charged me.  ",billing
That amount is nowhere on the site.  ,billing
This is the worst shipping experience I’ve had  ,delivery
Item was wet on arrival  ,product
Delivery support is impossible to reach  ,delivery
Can’t update the firmware  ,product
The driver clearly didn’t care  ,delivery
Wrong manual included  ,product
The packaging was torn open  ,product
I’m furious about this order  ,product
I only used it for one day  ,billing
No sound from left speaker  ,product
You dropped it off at the wrong block  ,delivery
Driver didn’t follow the instructions for safe drop-off  ,delivery
Something’s off with my bank statement  ,billing
My name isn’t even on the box  ,delivery
There’s no explanation for this charge  ,billing
You forgot the accessories listed in the description  ,product
Power bank won’t charge  ,product
Refuses to pair with my phone  ,product
Your records are wrong.  ,billing
Not adjustable as claimed  ,product
I had to retrieve my parcel from a neighbor  ,delivery
I’ve contacted support five times with no resolution  ,delivery
Clock is inaccurate  ,product
Paint smeared all over  ,product
This charge caught me by surprise  ,billing
I was billed during a system outage.  ,billing
I never enabled this option.  ,billing
Unstable when standing  ,product
The cable frays instantly  ,product
Arrived without instructions or labeling  ,product
Missing parts inside the package  ,product
Driver took a picture of someone else’s house  ,delivery
Your pricing chart is misleading.  ,billing
Your billing system is broken  ,billing
"No updates, no delivery, no apology  ",delivery
Why was my package delivered to a business address?  ,delivery
Delivery came after midnight—are you serious?  ,delivery
The color is totally different than advertised  ,product
Package contained someone else’s return  ,product
Driver refused to come to the door  ,delivery
I canceled two months ago.  ,billing
Package arrived open  ,product
Your driver left my order in the rain  ,delivery
Received completely wrong product  ,product
The delivery time keeps getting pushed back  ,delivery
Springs are popping out  ,product
Already stained straight out of the box  ,product
I used a gift card—why am I still being charged?  ,billing
It came in the wrong language  ,product
Wasn’t this included in my subscription?  ,billing
It was thrown over my fence  ,delivery
"It said one-time payment, not recurring!  ",billing
I want this reviewed immediately  ,billing
Nothing was communicated beforehand  ,billing
I had to chase down the delivery driver  ,delivery
Can’t hear anything through the speakers  ,product
Everything inside was scattered and loose  ,product
Why am I being charged while suspended?  ,billing
The delivery guy was rude and rushed  ,delivery
It’s been sitting at a warehouse for days  ,delivery
Scuffed and dented  ,product
Adhesive doesn’t stick  ,product
Doesn’t sync with the app  ,product
Handle doesn’t lock in place  ,product
Hinges are loose  ,product
Your courier ignored delivery instructions completely  ,delivery
This bill just showed up with no explanation.  ,billing
You charged me in error  ,billing
Someone else’s name is on my box  ,delivery
I never got my refund or my item  ,delivery
Package said it was delivered but it’s clearly not  ,delivery
Wasn’t this supposed to be prorated?  ,billing
"This was a gift, now ruined  ",product
Everything about this is wrong  ,product
I don’t even use your service anymore.  ,billing
Arrived wet and moldy  ,product
The label was ripped off during shipping  ,delivery
Why was my package redirected without permission?  ,delivery
All lights flicker randomly  ,product
Who leaves a package in a storm drain?  ,delivery
You marked it as delivered late at night  ,delivery
You sent me someone’s return  ,product
Battery started leaking inside the compartment  ,product
Doesn’t even power on  ,product
I had credit left in my account.  ,billing
Bubbles under the screen  ,product
My account shows usage I never made.  ,billing
Can’t get it to stay upright  ,product
Timer doesn’t count down  ,product
Still waiting for a delivery that’s overdue  ,delivery
My account balance should be zero.  ,billing
This line item is fabricated.  ,billing
Wrong language on packaging  ,product
The invoice lacks basic details.  ,billing
My order keeps getting delayed  ,delivery
I had to go find my delivery  ,delivery
This has gone on too long  ,billing
The stitching is all over the place  ,product
Why does this happen every time?  ,delivery
I said no to auto-renew.  ,billing
The seams are loose  ,product
You sent me someone else’s order  ,product
I need a real explanation  ,billing
Won’t sync to cloud  ,product
the driver never came  ,delivery
Why did you cancel my delivery without telling me?  ,delivery
Already expired when I opened it  ,product
The seam burst while trying it on  ,product
You overcharged me this month!  ,billing
Frame is bent  ,product
It was left at the wrong building entirely  ,delivery
This bill has more items than I ordered.  ,billing
You said it was left at the front door—nothing there  ,delivery
What’s this “maintenance fee”?  ,billing
Half the features don’t work  ,product
What is this “processing charge”?  ,billing
The package was damaged beyond recognition  ,delivery
Why is there tape residue all over?  ,product
Keeps freezing and lagging  ,product
I don’t recognize this item  ,billing
Why does my neighbor have my package?  ,delivery
Driver left the gate wide open  ,delivery
Why am I being billed again?  ,billing
Only one earbud works  ,product
That’s not what my contract says  ,billing
"Still waiting, even though it was “on truck”  ",delivery
